k,wss
1,71163714.02744098
2,60148836.09573731
3,53218014.198330514
4,42756980.43870185
5,37002612.748828
6,38210471.645159975
7,29660873.182555817
8,26816877.29184338
9,24649977.152110912
10,18713440.712874483
11,17776471.024357423
12,24034357.67876779
13,15132806.349581977
14,21562218.867480475
15,21384186.817533053
