YEAR,race_eth,weighted_count,count,hhsize,n_child,n_spouse,n_other_subfamily,avg_other_subfamily_size,fraction_multifamily,n_other_subfamily_members,calculated_hhsize
1970,Black,12490851.02000001,8836,4.191270801819232,1.1845898382991025,0.5340972147788845,0.8398392433952826,1.7433004579016662,0.5002196575714177,1.464092137574785,4.182779190652772
1970,Other,1334008.71,802,4.049198351935799,1.1425151414491137,0.6419412134123171,0.759805196474317,1.6645608676317047,0.45201559441092415,1.264741997074367,4.049198351935798
1970,White,115965957.99999982,83047,3.4729140249934454,0.9797694584646994,0.7106410859814568,0.5078489130404986,1.5368280542728956,0.3620270253792929,0.7804764568926345,3.4708870013387907
1980,Black,15981010.370000007,10848,3.6182808383973266,0.8078367519387328,0.41687626162275,0.9067238331314587,1.5331064439629385,0.5156083232051616,1.3901041514686154,3.6148171650300984
1980,Hispanic,7782032.139999999,9980,3.9799584829265457,1.1099560506312693,0.6037327751257533,0.8053217498019737,1.568910075237532,0.4718977246475366,1.2634774070722354,3.977166232829258
1980,Other,2888243.0400000005,3331,4.038501870673597,0.9052906641817785,0.6174733515500826,0.952129374818817,1.587797088957384,0.5163758933527974,1.5117882496481316,4.034552265379993
1980,White,129503745.1399999,102955,3.0668043697936884,0.6697521621960414,0.6504510427782371,0.5220529579813512,1.4281000383168427,0.3597461688821091,0.7455438492965888,3.0657470542708674
1990,AAPI,4656425.910000001,3019,3.8574067121793845,0.7581545606510034,0.613226132057151,0.9542911550374051,1.5572040164335197,0.5277846802463135,1.4860260194712298,3.857406712179384
1990,AIAN,893359.8599999999,852,3.232798740252332,0.7916637311195064,0.5005770351043083,0.6326977014615364,1.463431196893325,0.4432827214779942,0.9259095545215117,3.2181503207453264
1990,Black,20076506.53999999,10188,3.3092098990245913,0.673945265977534,0.37446956446437585,0.8732769052757723,1.4405613337790237,0.5387985259511194,1.2580089434224846,3.3064237738643945
1990,Hispanic,13559828.779999988,12071,4.005313683614232,0.8880124200211342,0.5416141640986132,1.0561039643156915,1.4906024929800146,0.5608986723503456,1.5742312020550462,4.003857786174793
1990,Other,175272.16000000003,112,3.434634057114375,0.7009649450317722,0.5246314645748645,0.8129288758693906,1.4798439541898802,0.5169805062024682,1.2030078821416932,3.4286042917483304
1990,White,142487177.54999956,88556,2.8726316022111478,0.5720436667460694,0.6188952330749565,0.5013586197602395,1.358333641668365,0.3580476425824194,0.6810122797607512,2.871951179581777
2000,AAPI,7744485.740000004,3340,3.6473956177753886,0.6244229187514779,0.5956696034926137,0.9790526349397087,1.4578410236536405,0.5372017303243171,1.427303095531299,3.647395617775391
2000,AIAN,1510182.6199999999,1034,3.375238936334733,0.8145693730735691,0.5640280842326207,0.6535902989004072,1.5244534341445757,0.4125965706054808,0.9963679756823055,3.3749654329884953
2000,Black,23307788.729999993,8787,3.092815247085864,0.620269084187808,0.3919618645865427,0.789196760494234,1.3665338394021431,0.49202890814087136,1.0784640791619193,3.0906950279362704
2000,Hispanic,21108625.32999997,15194,4.035743036233052,0.9122963825896857,0.5736994773785208,1.0191373310049665,1.517200997789011,0.5456994820799168,1.5462361754847649,4.032232035452971
2000,White,148091375.67000002,68862,2.8123629504805137,0.5570824358728166,0.6357580535263591,0.45422197792188296,1.362510946495419,0.32300025928984616,0.6188824170573661,2.811722906456542
2010,AAPI,11974072.610000001,8495,3.5430108795707422,0.6261687217211559,0.6352284738650841,0.8834176753835465,1.4502588113732513,0.5015143957774948,1.2811842678478629,3.542581463434103
2010,AIAN,1557459.37,1629,3.3901553977616756,0.6525445219158429,0.5020147909219614,0.8767140808302433,1.4093489678570794,0.49984692056525365,1.2355960849238714,3.390155397761676
2010,Black,26082035.550000012,17098,3.001776745910461,0.5557781236901966,0.3886272143356538,0.7812476116343612,1.3515456993964285,0.4853204553660686,1.055891849668152,3.0002971876940023
2010,Hispanic,32693480.60000006,23883,3.955733346115486,0.7963173976037291,0.5298249562941911,1.075265702973209,1.5139849580441336,0.5787271716796023,1.6279361002021895,3.9540784541001095
2010,Multiracial,2685082.09,2509,3.0257983062260863,0.527544213741339,0.4927174349444196,0.673577797392407,1.4888027041824696,0.43724134333635983,1.002824446235087,3.0230860949208456
2010,White,154735928.73999983,95457,2.777092840939628,0.48467341838891925,0.6322346474190927,0.4858011107834451,1.3576295476754394,0.3334115224569921,0.6595379422931547,2.776446008101167
2020,AAPI,16308192.425200004,8463,3.4091061775362994,0.5410235528657488,0.6454044435504577,0.8679739342679731,1.4069832701742888,0.5058219626261758,1.221224804462396,3.4076528008786022
2020,AIAN,1759682.7253999994,1334,3.2562125958800427,0.6082577249013439,0.4830651581277382,0.8411141445760085,1.3833583368247167,0.49230844350255054,1.1635622641204115,3.2548851471494937
2020,Black,30298472.287899986,13212,2.8921090432567627,0.4411667585377936,0.36949354595250944,0.816946516570246,1.3223811962527412,0.4915512902691063,1.0803147118566718,2.890975016346975
2020,Hispanic,42151501.214100026,20873,3.6619894522965617,0.6343676688638412,0.51499329769158,1.0316895638002366,1.4648824247733054,0.5876958979295728,1.5113039098330043,3.6606648763884255
2020,Multiracial,3717948.8614,1874,3.0367315047062204,0.4523892431018148,0.43309879840403764,0.7776937116911363,1.480330168411582,0.48846738925186445,1.151243463200368,3.0367315047062204
2020,White,158772555.42569998,72007,2.72371200742607,0.4299439979892796,0.6329111879516558,0.49161997654076545,1.3415855694491194,0.3327132785843491,0.6595502661800056,2.722405452120941
