STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,percent_crowded_1970,percent_crowded_2020,change_percent_crowded,pct_change_percent_crowded
1,Alabama,5174,5736,517400,139393,21.36074642886632,2.8480838727222615,-18.512662556144058,-86.66673993717073
2,Alaska,646,3626,64600,60710,23.715124816446405,8.617630442620577,-15.097494373825828,-63.661880300776396
4,Arizona,3662,18909,366200,460213,21.275854055310248,6.560358223644306,-14.715495831665942,-69.16524146767728
5,Arkansas,2397,5393,239700,132222,20.845290894860423,4.504474426882264,-16.340816467978158,-78.39092555914928
6,California,28472,201289,2847200,5017254,14.713831683935815,13.039872648711867,-1.6739590352239482,-11.376771674311959
8,Colorado,2012,7609,201200,201238,12.03565232996351,3.5644365454378955,-8.471215784525615,-70.38435102878465
9,Connecticut,2921,4577,292100,124535,9.926595527764562,3.559117038320774,-6.367478489443787,-64.14564259855285
10,Delaware,NA,1223,NA,35596,NA,3.669720987389587,NA,NA
11,District of Columbia,1907,1422,190700,42988,26.79876335019674,6.697869794458225,-20.100893555738516,-75.00679525046422
12,Florida,10053,37040,1005300,1043630,16.324310280434535,4.931752760516036,-11.392557519918498,-69.78890577431025
13,Georgia,5499,14643,549900,423489,19.21920872361247,4.043772805298692,-15.175435918313779,-78.95973313235021
15,Hawaii,1605,8051,160500,172263,22.16544676149703,12.218039913270877,-9.947406848226153,-44.877989400626525
16,Idaho,NA,3590,NA,81625,NA,4.52055280061053,NA,NA
17,Illinois,15326,22957,1532600,622069,15.538094996705023,4.985398090371556,-10.552696906333468,-67.91499800053514
18,Indiana,5035,10658,503500,252061,14.37339423351413,3.8166240983893505,-10.55677013512478,-73.44660532937856
19,Iowa,1790,4017,179000,99971,10.39790880046471,3.2354351854668693,-7.162473614997841,-68.8837895431217
20,Kansas,1821,4539,182100,108542,11.58618056881084,3.8111617157706648,-7.7750188530401765,-67.10596996882617
21,Kentucky,1628,6749,162800,165711,22.14664671473269,3.7835487971191224,-18.363097917613565,-82.915929233647
22,Louisiana,7677,6394,767700,176313,24.897840046701695,3.903852306656762,-20.993987740044933,-84.32051816810542
23,Maine,668,1423,66800,35518,11.366343372468949,2.673123063908699,-8.69322030856025,-76.48211939133022
24,Maryland,3664,10272,366400,290852,11.601177848842733,4.819863301430372,-6.781314547412361,-58.453672857785094
25,Massachusetts,5235,9524,523500,249886,10.323000473260766,3.6996848355206224,-6.623315637740143,-64.16076076811426
26,Michigan,10875,13981,1087500,344878,13.62048019237754,3.5054897092219677,-10.114990483155573,-74.26309748474395
27,Minnesota,3125,8393,312500,220529,11.45192025798886,3.9683180916573537,-7.483602166331506,-65.34801149275332
28,Mississippi,2147,4392,214700,104865,26.598116947472743,3.66159098773394,-22.936525959738802,-86.23364580671245
29,Missouri,6513,9911,651300,219612,17.18515000395789,3.668915508791134,-13.516234495166756,-78.65066346266312
30,Montana,NA,2037,NA,40668,NA,3.829187432265621,NA,NA
31,Nebraska,626,3102,62600,78587,10.065926997909632,4.1146663427445285,-5.951260655165103,-59.12282749915619
32,Nevada,316,7542,31600,189901,11.729769858945806,6.191587375749124,-5.538182483196682,-47.214758258645126
33,New Hampshire,457,1611,45700,34773,9.623078542851127,2.5969884404028756,-7.026090102448252,-73.012914434413
34,New Jersey,7855,20926,785500,588602,11.421799569592276,6.488781754657196,-4.93301781493508,-43.18949728436859
35,New Mexico,1548,5014,154800,106679,27.796731908780753,5.159716686916213,-22.63701522186454,-81.4376858982969
36,New York,23343,69859,2334300,1918319,13.992507118237674,9.891556449325806,-4.100950668911867,-29.30819069276538
37,North Carolina,7731,13457,773100,359862,17.794913108528025,3.5306192147383744,-14.26429389378965,-80.15939053365558
38,North Dakota,NA,963,NA,24119,NA,3.217428191815761,NA,NA
39,Ohio,10134,15403,1013400,378169,11.985807214665876,3.294272130925908,-8.691535083739968,-72.51522511646087
40,Oklahoma,2416,7684,241600,167450,13.003229278794404,4.345373222017042,-8.657856056777362,-66.58235328432258
41,Oregon,1266,8358,126600,219891,9.123009295957338,5.32494255292408,-3.7980667430332584,-41.631731590104685
42,Pennsylvania,11713,16024,1171300,404933,10.781182404756864,3.22185181150942,-7.559330593247443,-70.11596974662187
44,Rhode Island,743,1386,74300,43431,9.985217040720332,4.139230481113707,-5.845986559606626,-58.54641452225155
45,South Carolina,3464,6389,346400,159904,22.45850622406639,3.196370581013274,-19.262135643053117,-85.76766170855984
46,South Dakota,NA,1827,NA,36728,NA,4.2816207860518585,NA,NA
99,State not identified,59379,NA,5937900,NA,16.520002114417824,NA,NA,NA
47,Tennessee,3135,10276,313500,265484,16.923076923076923,3.9208579915519985,-13.002218931524926,-76.83129368628366
48,Texas,20865,73580,2086500,2138355,21.54718384038664,7.468603542925257,-14.078580297461384,-65.33837740351669
49,Utah,1279,6239,127900,147326,16.120494076128054,4.561449027759243,-11.55904504836881,-71.70403707096024
50,Vermont,NA,674,NA,15209,NA,2.457531674511572,NA,NA
51,Virginia,4157,10524,415700,295810,12.91595463725338,3.5273088902350027,-9.388645747018376,-72.69029669660486
53,Washington,2057,17088,205700,427258,8.07014790694025,5.673879607376211,-2.3962682995640385,-29.692991097514717
54,West Virginia,749,1918,74900,45110,13.161131611316112,2.590881887719645,-10.570249723596467,-80.31414042321428
55,Wisconsin,3737,8437,373700,178802,11.239773820981714,3.116419267342906,-8.123354553638809,-72.27329199876455
56,Wyoming,NA,919,NA,17341,NA,3.0721234164152476,NA,NA
