STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
13,1990,6131748,63532,2.873287030060596,Georgia
15,1990,1069992,10837,2.6908986235411105,Hawaii
16,1990,981980,9850,3.0101224057516447,Idaho
17,1990,10893435,111927,2.838155733246676,Illinois
18,1990,5267872,53266,2.8758876449541675,Indiana
19,1990,2359560,24280,2.9623442506229973,Iowa
20,1990,2374164,24433,2.888557824985974,Kansas
21,1990,3374964,33386,2.8562224663729747,Kentucky
22,1990,4082235,40880,2.7872195010821277,Louisiana
23,1990,1091222,11466,2.8908288139352027,Maine
24,1990,4474176,45620,3.0061141984579955,Maryland
25,1990,5794022,60071,2.8895789487854895,Massachusetts
26,1990,9064653,90045,2.9139171681475284,Michigan
27,1990,3948203,41274,2.9637774450807113,Minnesota
28,1990,2441490,25513,2.8480640920093876,Mississippi
29,1990,4983329,49870,2.8371068817651817,Missouri
30,1990,759221,7647,2.9568057258690157,Montana
31,1990,1490454,15007,2.9704680587257304,Nebraska
32,1990,1167530,12018,2.671083398285269,Nevada
33,1990,922573,9674,2.894930807643406,New Hampshire
34,1990,7408739,77033,2.9350380678817274,New Jersey
35,1990,1471185,15371,2.713424892178754,New Mexico
36,1990,17361288,177792,2.733877809065779,New York
37,1990,6380160,65278,2.82401773623232,North Carolina
38,1990,517350,5384,3.114380979994201,North Dakota
39,1990,10138336,100958,2.943862977119717,Ohio
40,1990,3025082,30047,2.7704865521000754,Oklahoma
41,1990,2771696,27797,2.7917635988939624,Oregon
42,1990,11433078,116044,2.9755672094601295,Pennsylvania
44,1990,955305,9446,2.8103286384976527,Rhode Island
45,1990,3371925,32735,2.8448186125136234,South Carolina
46,1990,668040,6634,3.0181067001975928,South Dakota
99,1990,4127903,41413,2.8939834584291346,State not identified
47,1990,4556520,46113,2.8296660609412445,Tennessee
48,1990,16481528,172889,2.6864494602684896,Texas
49,1990,1687522,17659,3.292265226764451,Utah
50,1990,534846,5472,2.940401536143114,Vermont
51,1990,5882805,57086,2.997587885371009,Virginia
53,1990,4758255,48045,2.8698997846899754,Washington
54,1990,1369818,13880,2.8641410756757466,West Virginia
55,1990,4659288,47228,2.9409592195202356,Wisconsin
56,1990,448596,4557,3.0185779632453253,Wyoming
1,2000,4331032,43342,2.8950688888929936,Alabama
2,2000,609202,6229,2.7744180091332598,Alaska
4,2000,5019932,50803,2.7320850162910575,Arizona
5,2000,2601749,26238,2.789699160065018,Arkansas
6,2000,33044679,330240,2.5628636913071543,California
8,2000,4198816,42103,2.974761218400616,Colorado
9,2000,3297673,33022,2.8896767508482495,Connecticut
10,2000,759046,7540,3.0531957219984034,Delaware
11,2000,536599,5401,2.3385116260000482,District of Columbia
12,2000,15594755,155762,2.64450528398811,Florida
13,2000,7950780,79094,2.93350023519705,Georgia
15,2000,1175450,11862,2.776135097196818,Hawaii
16,2000,1261898,12796,2.997865120635741,Idaho
17,2000,12097469,120354,2.8430675044507243,Illinois
18,2000,5898674,58886,2.9150485346367674,Indiana
19,2000,2819139,28169,2.9334332219872805,Iowa
20,2000,2605802,25947,2.9625700648015467,Kansas
21,2000,3926749,39067,2.894562652209245,Kentucky
22,2000,4334078,43177,2.810882499115152,Louisiana
23,2000,1239622,12527,2.9253845123755466,Maine
24,2000,5162889,51411,3.051117504172567,Maryland
25,2000,6128018,61543,2.881755406070935,Massachusetts
