YEAR,weighted_count,count,ppbr
1970,197204400,1972044,1.6052592724435013
1980,220991900,2209919,1.3850406055606461
1990,241492263,2447860,1.3657241827798658
2000,273604093,2740185,1.3979493691882243
2012,301099743,14757252,1.2099166481188293
2022,322913832,14884820,1.188879882358199
