STATEFIP,YEAR,weighted_count,count,crowded,state_name
21,1990,173988,1604,5.155254989386553,Kentucky
22,1990,423735,4455,10.37997567508975,Louisiana
23,1990,34122,432,3.1269530856232732,Maine
24,1990,257194,2495,5.748410433563633,Maryland
25,1990,259506,2582,4.478857691600066,Massachusetts
26,1990,465500,4530,5.135331710987724,Michigan
27,1990,144762,1508,3.6665287980379935,Minnesota
28,1990,252855,2814,10.356585527690058,Mississippi
29,1990,276777,2803,5.5540583413216345,Missouri
30,1990,34295,370,4.5171300583097675,Montana
31,1990,54411,582,3.650632626032068,Nebraska
32,1990,117273,1235,10.044538470103552,Nevada
33,1990,28577,324,3.097532661372054,New Hampshire
34,1990,568581,5507,7.674463899997017,New Jersey
35,1990,184200,2009,12.520519173319467,New Mexico
36,1990,2081030,17661,11.986610670821198,New York
37,1990,285315,3123,4.471909795365633,North Carolina
38,1990,13850,170,2.677104474726974,North Dakota
39,1990,416480,4246,4.1079719591065045,Ohio
40,1990,175984,1797,5.817495195171569,Oklahoma
41,1990,184560,1920,6.6587389093176155,Oregon
42,1990,456462,4424,3.9924681699888693,Pennsylvania
44,1990,39299,368,4.113764713887188,Rhode Island
45,1990,256170,2561,7.597144064592184,South Carolina
46,1990,29760,331,4.454823064487156,South Dakota
99,1990,178950,1840,4.3351309369430435,State not identified
47,1990,248895,2512,5.46239235205815,Tennessee
48,1990,2277310,23547,13.81734751777869,Texas
49,1990,140947,1649,8.35230592549312,Utah
50,1990,15418,142,2.882698945116912,Vermont
51,1990,288735,2974,4.908117811146213,Virginia
53,1990,309600,3210,6.506586973585906,Washington
54,1990,61200,661,4.467746810160182,West Virginia
55,1990,203424,1943,4.365988966554546,Wisconsin
56,1990,20484,229,4.566246689671776,Wyoming
1,2000,242387,2402,5.596518335583759,Alabama
2,2000,78274,1021,12.84861179050627,Alaska
4,2000,780227,8092,15.542581054882815,Arizona
5,2000,174307,1758,6.699608609439266,Arkansas
6,2000,8385984,83910,25.377713610109513,California
8,2000,358690,3555,8.542646307911564,Colorado
9,2000,196447,1922,5.957140080292982,Connecticut
10,2000,39420,428,5.1933611401680535,Delaware
11,2000,97213,973,18.116507857823066,District of Columbia
12,2000,1715804,17045,11.002442808495548,Florida
13,2000,685200,6676,8.61802238270962,Georgia
15,2000,256971,2433,21.861499851120847,Hawaii
16,2000,104030,1094,8.243930967479146,Idaho
17,2000,1325931,11404,10.960400063848066,Illinois
18,2000,271784,2744,4.607544000566907,Indiana
19,2000,116256,1118,4.123812270342115,Iowa
20,2000,163160,1576,6.26141203360808,Kansas
21,2000,148017,1447,3.7694540700207733,Kentucky
22,2000,392599,3868,9.058420268393878,Louisiana
23,2000,27271,291,2.1999448218892534,Maine
24,2000,352661,3360,6.83069111112015,Maryland
25,2000,345582,3506,5.639376385643776,Massachusetts
26,2000,588439,5776,6.076593879734787,Michigan
27,2000,273538,2398,5.717566774410932,Minnesota
28,2000,226016,2432,8.217705793508763,Mississippi
29,2000,284899,2769,5.247071832647104,Missouri
30,2000,54164,561,6.1717689768450414,Montana
31,2000,84428,831,5.086017968653049,Nebraska
32,2000,271442,2820,13.823247675390329,Nevada
33,2000,42842,407,3.5672534097153994,New Hampshire
34,2000,766350,7396,9.32382526614907,New Jersey
35,2000,216724,2340,12.16729611088249,New Mexico
36,2000,2605148,23143,14.157385094212724,New York
37,2000,498541,4834,6.393297143963672,North Carolina
38,2000,22416,241,3.625618058217566,North Dakota
39,2000,435083,4375,3.939123809027148,Ohio
40,2000,249977,2482,7.493663524534264,Oklahoma
41,2000,304961,3106,9.131588647474704,Oregon
42,2000,488990,4928,4.128133467226045,Pennsylvania
44,2000,55215,509,5.466182235773967,Rhode Island
45,2000,219641,2316,5.665800789865372,South Carolina
46,2000,44195,392,6.084054806740573,South Dakota
47,2000,308443,2917,5.566921071739198,Tennessee
48,2000,3262143,30861,16.08115252738347,Texas
49,2000,199042,1885,9.076486781906125,Utah
50,2000,13529,145,2.298200374398228,Vermont
51,2000,406191,3887,5.935223100365064,Virginia
53,2000,519178,5253,9.010997631909447,Washington
54,2000,58150,590,3.2978930348385678,West Virginia
55,2000,250236,2269,4.805581507894365,Wisconsin
56,2000,25908,268,5.405146029487546,Wyoming
1,2010,162823,6289,3.492311137268764,Alabama
2,2010,55881,4485,8.159108529678445,Alaska
4,2010,449814,21132,7.175316658020822,Arizona
5,2010,128572,5391,4.533419743287684,Arkansas
6,2010,5255117,222802,14.398537042569624,California
8,2010,223034,8419,4.527234879970445,Colorado
9,2010,123558,4735,3.5774094920436386,Connecticut
10,2010,31596,1120,3.6090823317623464,Delaware
11,2010,47760,1843,8.439966848036418,District of Columbia
12,2010,888936,36044,4.815070902825794,Florida
13,2010,426391,16646,4.50979245315148,Georgia
15,2010,160360,7269,12.155216259913635,Hawaii
16,2010,56850,2822,3.6947229477715005,Idaho
17,2010,744163,27161,5.943546123715928,Illinois
18,2010,239576,10496,3.804050799010086,Indiana
19,2010,88964,3670,3.0175495722842935,Iowa
20,2010,120856,4642,4.359997806580835,Kansas
21,2010,141364,6021,3.3543209744719573,Kentucky
22,2010,200965,8352,4.565524874630662,Louisiana
23,2010,25017,1073,1.9341446066303811,Maine
24,2010,236705,8954,4.192708914534665,Maryland
25,2010,206397,8571,3.267597312172167,Massachusetts
26,2010,321704,13609,3.3281034722125957,Michigan
27,2010,186186,7061,3.5969817855778774,Minnesota
28,2010,126908,5890,4.41514958377053,Mississippi
29,2010,205350,9199,3.535267977961,Missouri
30,2010,29814,1507,3.0990395409754274,Montana
31,2010,69669,2628,3.922678157288871,Nebraska
32,2010,186505,7732,6.99009906185266,Nevada
33,2010,30660,1237,2.4000169081426015,New Hampshire
34,2010,589707,22296,6.852415229820447,New Jersey
35,2010,132973,6292,6.60777102455658,New Mexico
36,2010,1799425,68492,9.566995525575061,New York
37,2010,363316,14541,3.912184847708248,North Carolina
38,2010,15223,689,2.338319844306576,North Dakota
39,2010,338713,15239,3.0174057631396205,Ohio
40,2010,173595,7815,4.771472588667152,Oklahoma
41,2010,192831,7862,5.141593739142863,Oregon
42,2010,328373,13706,2.6760261395254914,Pennsylvania
44,2010,33985,1373,3.366484730215649,Rhode Island
45,2010,151710,6351,3.378771134858201,South Carolina
46,2010,31243,1356,3.99494159045807,South Dakota
47,2010,240065,9805,3.8719830298224873,Tennessee
48,2010,2120718,84510,8.61204544759576,Texas
49,2010,135264,5856,4.972582857999938,Utah
50,2010,10234,509,1.7046438803384638,Vermont
51,2010,267861,10077,3.4462031631204892,Virginia
53,2010,343865,14589,5.212418186718456,Washington
54,2010,44683,1860,2.4804981980401606,West Virginia
55,2010,172361,7330,3.1125510418570315,Wisconsin
56,2010,18400,903,3.351120986395177,Wyoming
1,2020,139393,5736,2.8480838727222615,Alabama
2,2020,60710,3626,8.617630442620577,Alaska
4,2020,460213,18909,6.560358223644306,Arizona
5,2020,132222,5393,4.504474426882264,Arkansas
6,2020,5017254,201289,13.039872648711867,California
8,2020,201238,7609,3.5644365454378955,Colorado
9,2020,124535,4577,3.5591170383207746,Connecticut
10,2020,35596,1223,3.669720987389587,Delaware
11,2020,42988,1422,6.697869794458225,District of Columbia
12,2020,1043630,37040,4.931752760516036,Florida
13,2020,423489,14643,4.043772805298692,Georgia
15,2020,172263,8051,12.218039913270875,Hawaii
16,2020,81625,3590,4.52055280061053,Idaho
17,2020,622069,22957,4.985398090371556,Illinois
18,2020,252061,10658,3.8166240983893505,Indiana
19,2020,99971,4017,3.2354351854668693,Iowa
20,2020,108542,4539,3.8111617157706648,Kansas
21,2020,165711,6749,3.7835487971191224,Kentucky
22,2020,176313,6394,3.903852306656762,Louisiana
23,2020,35518,1423,2.673123063908699,Maine
24,2020,290852,10272,4.819863301430372,Maryland
25,2020,249886,9524,3.6996848355206224,Massachusetts
26,2020,344878,13981,3.5054897092219677,Michigan
27,2020,220529,8393,3.9683180916573533,Minnesota
28,2020,104865,4392,3.6615909877339403,Mississippi
29,2020,219612,9911,3.6689155087911334,Missouri
30,2020,40668,2037,3.829187432265621,Montana
31,2020,78587,3102,4.1146663427445285,Nebraska
32,2020,189901,7542,6.191587375749124,Nevada
33,2020,34773,1611,2.5969884404028756,New Hampshire
34,2020,588602,20926,6.488781754657196,New Jersey
35,2020,106679,5014,5.159716686916213,New Mexico
36,2020,1918319,69859,9.891556449325806,New York
37,2020,359862,13457,3.5306192147383744,North Carolina
38,2020,24119,963,3.217428191815761,North Dakota
39,2020,378169,15403,3.2942721309259078,Ohio
40,2020,167450,7684,4.345373222017042,Oklahoma
41,2020,219891,8358,5.32494255292408,Oregon
42,2020,404933,16024,3.22185181150942,Pennsylvania
44,2020,43431,1386,4.139230481113707,Rhode Island
45,2020,159904,6389,3.196370581013274,South Carolina
