YEAR,race_eth,weighted_count,count,hhsize,n_other_subfamily,avg_other_subfamily_size,fraction_multifamily,n_other_subfamily_members
1970,Black,22433119.780000046,16038,5.158355553522557,0.7732524245452929,1.6420322264567366,0.4535532788030249,1.269705400289177
1970,Other,2278503.46,1326,4.817433799288591,0.6830630268167337,1.567800113941397,0.405009856776781,1.0709062912724308
1970,White,175511766.4399999,127659,4.098702426688424,0.4433952129733926,1.4568255600290732,0.3185823016550573,0.6459494794541729
1980,Black,25166734.259999998,17367,4.178433026852333,0.8440224870082135,1.4918592311045753,0.4771265511030198,1.2591627385030448
1980,Hispanic,13244006.119999977,17277,4.46183001008762,0.6596206843190445,1.4902793221276793,0.3979468313625336,0.9830190662883816
1980,Other,4288820.75,5244,4.471248216657223,0.8462415175546798,1.5754217021274977,0.47311693080201617,1.3331872519969503
1980,White,175400648.94000015,141600,3.4618402699736346,0.4717736743853579,1.3850086815556966,0.32666481661421776,0.653410634753151
1990,AAPI,6629893.7200000025,4316,4.251591533808177,0.8699763440551797,1.5150785924469226,0.4792636283768364,1.3180825348132412
1990,AIAN,1380933.7800000005,1396,3.858696881178472,0.5856396242258624,1.5145145062958876,0.3982902641428613,0.886959706351741
1990,Black,30010615.699999973,15683,3.756404444244709,0.800779577141432,1.4052527786918816,0.49058900780899367,1.1252977258977073
1990,Hispanic,20778649.62999999,18591,4.40391558399842,0.9043483626033885,1.4717357292836222,0.49544973534451964,1.3309617969625476
1990,Other,313883.3,218,3.881868420524444,0.6602900186151988,1.3936964114711217,0.4191576296031042,0.9202438294742026
1990,White,187077509.57999983,117875,3.224345475595788,0.44536821618512507,1.3401732649190579,0.3206141466425231,0.5968705763759958
2000,AAPI,10736035.009999998,4584,3.9616699182131296,0.879487615419019,1.4171485172343397,0.4904672828558523,1.2463645701170278
2000,AIAN,2472466.4799999995,1649,3.9454074985073224,0.6133497065650815,1.4487792074706045,0.3778180280931454,0.8886083017796865
2000,Black,34441277.77000001,12930,3.5230463730265953,0.7313574733844718,1.3332381930926283,0.44949889529026027,0.9750737163199031
2000,Hispanic,32803942.979999967,23559,4.404850595798715,0.8922833623337811,1.4898996930912398,0.4885420100190651,1.32941270769152
2000,White,193633279.9900002,90988,3.1730846043186864,0.4083721619758946,1.341848461229934,0.29289924331669076,0.5479735571564955
2010,AAPI,15485536.790000003,11164,3.8105518052241805,0.8095055353906132,1.4328071021413364,0.4681059544982034,1.1598652803303955
2010,AIAN,2233871.6000000006,2358,3.786924436480592,0.8408980041646082,1.3958572737342347,0.47563463808752476,1.1737735955817692
2010,Black,36588949.41000005,23862,3.415422555856325,0.7256516898717913,1.326074029382891,0.44988086909926905,0.9622678603167902
2010,Hispanic,49796674.22999999,36830,4.302928536559017,0.9384492268330363,1.4808755052137788,0.5142363062586401,1.3897264729038528
2010,Multiracial,5362387.660000002,4669,3.7457703925120542,0.5419059259136068,1.419634564343733,0.3516877312074076,0.7693083830496503
2010,White,194814278.14999956,130919,3.1105463062282217,0.44999069448339707,1.3414252488877028,0.3111243739708414,0.6036288793445411
2020,AAPI,20536561.7038,10613,3.6298259212741866,0.7803234196323506,1.394058568161186,0.4641762012497022,1.0878165490753149
2020,AIAN,2393713.1017999994,1877,3.665573499932791,0.825325156266394,1.3549904103517052,0.4680411290549089,1.1183076721629865
2020,Black,40619554.3089,17098,3.264288983041545,0.762061363819978,1.3052655702376739,0.45847372623238214,0.9946924606025831
2020,Hispanic,61126404.19620001,29948,4.018413578758653,0.9076000011636335,1.4306957984997974,0.5281256048774231,1.2984995083832216
2020,Multiracial,7065377.6879,3486,3.6651204007179903,0.5862681898936336,1.4167524304562698,0.38073210162662074,0.8305968829310033
2020,White,195859493.57250023,94937,3.050300787382316,0.46355323889976374,1.3235363321344364,0.3142532467858986,0.6135295535624314
