YEAR,weighted_count,count,persons_per_bedroom
1970,197204400,1972044,1.6052592724435741
1980,220991900,2209919,1.3850406055606628
1990,241492263,2447860,1.3657241827798396
2000,273604093,2740185,1.3979493691882277
2010,301099743,14757252,1.2099166481188264
2020,322913832,14884820,1.1888798823581892
