cluster,n_spouse,n_child,n_parent,n_grandchild,n_other_rel,n_non_rel
1,-0.11,0.25,-0.15,3.57,0.41,-0.08
2,-0.62,-0.19,-0.04,-0.06,0.06,7.09
3,0.83,0.22,-0.18,-0.16,-0.13,-0.26
4,-1.19,-0.38,-0.18,-0.16,-0.09,-0.26
5,-0.34,0.02,0.65,0.05,6.86,0.11
6,-0.22,0.44,-0.06,10.44,1.03,0.01
7,0.05,0.18,5.16,-0.1,0.24,-0.07
8,-0.84,-0.2,-0.18,-0.15,-0.09,2.29
9,-0.4,-0.04,0,-0.01,0.3,13.14
