YEAR,weighted_count,count,percent_doubled
1970,7439400,74394,3.7724310410923896
1980,14004600,140046,6.337155343702642
1990,15340078,147230,6.352202679056431
2000,19539506,187491,7.141525474182142
2010,20816042,818676,6.913337684250365
2020,23679319,955931,7.333014771569153
