STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,ppbr_1970,ppbr_2020,change_ppbr,pct_change_ppbr
41,Oregon,13877,194727,1387700,4129453,1.4614289832096243,1.1711511104900918,-0.29027787271953254,-19.862605439917957
42,Pennsylvania,108643,611151,10864300,12568331,1.4705759536586196,1.0825522643645638,-0.38802368929405584,-26.38583123358563
44,Rhode Island,7441,46309,744100,1049253,1.5014155803431417,1.161024732198364,-0.3403908481447777,-22.671327818976206
45,South Carolina,15424,228988,1542400,5002674,1.7684496023513132,1.0522027486366978,-0.7162468537146154,-40.501400365738476
46,South Dakota,NA,42568,NA,857806,NA,1.079399907049691,NA,NA
99,State not identified,359437,NA,35943700,NA,1.615819554840833,NA,NA,NA
47,Tennessee,18525,313806,1852500,6771069,1.643634727845246,1.1054536021810892,-0.5381811256641567,-32.74335328565948
48,Texas,96834,1211253,9683400,28631256,1.791225533731278,1.2609133627715574,-0.5303121709597205,-29.60610827465341
49,Utah,7934,156832,793400,3229807,1.625323502226703,1.156267097899865,-0.46905640432683793,-28.859264243962993
50,Vermont,NA,30604,NA,618873,NA,1.0614666498619223,NA,NA
51,Virginia,32185,390168,3218500,8386280,1.5313163481953378,1.0819477368590893,-0.4493686113362485,-29.345250043587086
53,Washington,25489,361475,2548900,7530262,1.4277472635254422,1.1798773336173445,-0.24786992990809775,-17.360910872702277
54,West Virginia,5691,81370,569100,1741106,1.504533473906168,1.0476983978383132,-0.4568350760678548,-30.36390243161488
55,Wisconsin,33248,285838,3324800,5737418,1.5038022337183194,1.0770143991600472,-0.4267878345582723,-28.380582565234764
56,Wyoming,NA,27787,NA,564463,NA,1.036548719756653,NA,NA
