STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
12,1990,12626448,130422,1.3778564011034655,Florida
13,1990,6131748,63532,1.2840874358611316,Georgia
15,1990,1069992,10837,1.7507438373371051,Hawaii
16,1990,981980,9850,1.2931773898993215,Idaho
17,1990,10893435,111927,1.3524399099090416,Illinois
18,1990,5267872,53266,1.2316280527190722,Indiana
19,1990,2359560,24280,1.1651066512400616,Iowa
20,1990,2374164,24433,1.2172905073112057,Kansas
21,1990,3374964,33386,1.2320138525922038,Kentucky
22,1990,4082235,40880,1.3913124183198664,Louisiana
23,1990,1091222,11466,1.1912787376598541,Maine
24,1990,4474176,45620,1.2284815572744539,Maryland
25,1990,5794022,60071,1.2364275339881974,Massachusetts
26,1990,9064653,90045,1.250964044992486,Michigan
27,1990,3948203,41274,1.2025384333075189,Minnesota
28,1990,2441490,25513,1.391213562209962,Mississippi
29,1990,4983329,49870,1.2426654886054558,Missouri
30,1990,759221,7647,1.2003240821842394,Montana
31,1990,1490454,15007,1.1756359136209515,Nebraska
32,1990,1167530,12018,1.3839340459488516,Nevada
33,1990,922573,9674,1.1997948491158272,New Hampshire
34,1990,7408739,77033,1.3171036123691249,New Jersey
35,1990,1471185,15371,1.4831911010511933,New Mexico
36,1990,17361288,177792,1.4631199136838229,New York
37,1990,6380160,65278,1.2021041008375966,North Carolina
38,1990,517350,5384,1.1522744112625263,North Dakota
39,1990,10138336,100958,1.1947567201034477,Ohio
40,1990,3025082,30047,1.258504639984417,Oklahoma
41,1990,2771696,27797,1.269025174478007,Oregon
42,1990,11433078,116044,1.1866063364563793,Pennsylvania
44,1990,955305,9446,1.236491801047838,Rhode Island
45,1990,3371925,32735,1.2923119583027498,South Carolina
46,1990,668040,6634,1.2214717681575944,South Dakota
99,1990,4127903,41413,1.2115718037302041,State not identified
47,1990,4556520,46113,1.2346490852668264,Tennessee
48,1990,16481528,172889,1.524513584743691,Texas
49,1990,1687522,17659,1.3750710212963104,Utah
50,1990,534846,5472,1.1687359227391338,Vermont
51,1990,5882805,57086,1.1994256566382873,Virginia
53,1990,4758255,48045,1.2665683112821822,Washington
