YEAR,decade_label,weighted_count,count,hhsize,n_child,n_spouse,n_other_subfamily,avg_other_subfamily_size,fraction_multifamily,n_other_subfamily_members,calculated_hhsize,hhsize_diff,n_child_diff,n_spouse_diff,n_other_subfamily_members_diff,components_sum
1970,NA-1970,129790817.73000032,92685,3.547970611896078,1.0013457953579052,0.6929446921822715,0.5422717461909606,1.5695539193477686,0.3761941079805231,0.8511247445855806,3.5454152321257575,NA,NA,NA,NA,NA
1980,1970-1980,156155030.69000012,127114,3.1867226604942678,0.7101786920983358,0.6236086693442423,0.583410226730748,1.4594971904741012,0.3841939559994074,0.8514855868073852,3.1852729482499633,-0.3612479514018103,-0.2911671032595694,-0.0693360228380292,3.6084222180454706e-4,-0.36014228387579406
1990,1980-1990,181848570.79999977,114798,3.0328183805555646,0.61281121160178,0.5853302077202791,0.5964064472592504,1.3979577154396736,0.39809145879743296,0.8337509944840339,3.031892413806093,-0.15390427993870315,-0.09736748049655586,-0.0382784616239632,-0.017734592323351284,-0.15338053444387034
2000,1990-2000,201762458.08999977,97217,3.009017666305359,0.6060222771743666,0.599026189976768,0.5736762325148164,1.3994407267186908,0.374707584283476,0.8028258837317752,3.00787435088291,-0.02380071425020569,-0.006788934427413351,0.013695982256488937,-0.030925110752258678,-0.024018062923183092
2010,2000-2010,229728058.9599993,149071,3.017324039335988,0.5461362628404318,0.587645031177955,0.6287992207567138,1.4037322955644196,0.39667008580726937,0.8826657736019401,3.016447067620327,0.0083063730306292,-0.05988601433393481,-0.011381158798813074,0.07983988987016488,0.008572716737416997
2020,2010-2020,253008352.93970057,117763,2.952678117400514,0.4740631582842886,0.5785477672940156,0.6513310889450177,1.3796502813264069,0.4087301090863464,0.8986091200996286,2.9512200456779327,-0.06464592193547425,-0.07207310455614324,-0.009097263883939388,0.01594334649768847,-0.06522702194239416
