YEAR,weighted_count,count,weighted_mean
2020,327601104.5711015,157959,3.311556108369965
1970,200223389.6800095,145023,4.2256054697314465
1980,218100210.06999713,181488,3.6251016417006108
2000,274087002.2300006,133710,3.4023393056684887
2010,304281697.8400005,209802,3.3941288955639632
1990,246191485.7099985,158079,3.420819395241213
