race_eth,YEAR,NUMPREC,percent,count
Other,2022,5,26.26462441962028,15243
White,1970,1,5.842414856754232,96730
White,1970,2,20.356524412451655,337033
White,1970,3,17.12492548248393,283529
White,1970,4,20.623186891440284,341448
White,1970,5,36.0529483568699,596911
White,1980,1,8.731876174238701,153697
White,1980,2,24.99154917414837,439897
White,1980,3,19.415197169839725,341743
White,1980,4,23.085383735668394,406345
White,1980,5,23.77599374610481,418501
White,1990,1,10.18485254615505,181582
White,1990,2,27.391999993367623,522476
White,1990,3,20.364937525457066,387790
White,1990,4,23.29608355155183,450229
White,1990,5,18.76212638346843,363436
White,2000,1,11.38804360454045,214584
White,2000,2,29.45394513185533,577690
White,2000,3,19.385677529874982,376916
White,2000,4,21.99562773289791,429050
White,2000,5,17.776706000831325,347396
White,2012,1,12.195498340977585,1273626
White,2012,2,31.66681755043185,3437252
White,2012,3,19.09086160672904,1865149
White,2012,4,20.25671525810766,1995841
White,2012,5,16.790107243753862,1635404
White,2022,1,12.66797791575431,1266513
White,2022,2,32.70608911770282,3522022
White,2022,3,18.560437687603528,1739712
White,2022,4,19.087524901659343,1756864
White,2022,5,16.977970377280002,1543837
