STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,hhsize_1970,hhsize_2020,change_hhsize,pct_change_hhsize
22,Louisiana,30834,196117,3083400,4516385,4.599922163845106,3.2167990549964185,-1.3831231088486873,-30.0684024551521
23,Maine,5877,63538,587700,1328708,4.323464352560831,2.958072804559015,-1.3653915480018157,-31.580960004748984
24,Maryland,31583,279631,3158300,6034445,4.233131748092328,3.412922812288454,-0.820208935803874,-19.375936885817534
25,Massachusetts,50712,317176,5071200,6754251,4.20551348793185,3.221561502526335,-0.9839519854055152,-23.396714532697747
26,Michigan,79843,476408,7984300,9838226,4.366531818694187,3.2233810241805787,-1.1431507945136086,-26.179834293649282
27,Minnesota,27288,270183,2728800,5557241,4.288038698328935,3.283866940447607,-1.0041717578813283,-23.417973309631225
28,Mississippi,8072,128136,807200,2863919,4.714568880079287,3.2376865407157114,-1.4768823393635753,-31.325925592134695
29,Missouri,37899,291781,3789900,5985747,4.116388295205678,3.196524844768748,-0.9198634504369303,-22.346372219265305
30,Montana,NA,50792,NA,1062053,NA,3.14369810169549,NA,NA
31,Nebraska,6219,93343,621900,1909924,3.977649139733076,3.299339136007506,-0.6783100037255703,-17.053037608316778
32,Nevada,2694,139013,269400,3067081,4.11358574610245,3.448883156330074,-0.6647025897723755,-16.158714824461104
33,New Hampshire,4749,64038,474900,1338974,4.17540534849442,3.0889457151520494,-1.0864596333423702,-26.020458917458857
34,New Jersey,68772,413768,6877200,9071071,4.12449834234863,3.4477711617514624,-0.676727180597168,-16.407502790068197
35,New Mexico,5569,89643,556900,2067536,4.686119590590771,3.2757843152428783,-1.4103352753478924,-30.096015436304604
36,New York,166825,902061,16682500,19393500,4.007618762175933,3.420858483512517,-0.5867602786634158,-14.641120163456739
37,North Carolina,43445,464947,4344500,10192603,4.272781677983658,3.1616764628230887,-1.1111052151605691,-26.004259026052182
38,North Dakota,NA,37518,NA,749636,NA,3.1567147255467987,NA,NA
39,Ohio,84550,550981,8455000,11479592,4.186469544648137,3.178429860573442,-1.0080396840746952,-24.07851468460685
40,Oklahoma,18580,178551,1858000,3853524,3.8181916038751345,3.3064867378534557,-0.5117048660216788,-13.40175976245777
41,Oregon,13877,194727,1387700,4129453,3.85724580240686,3.2467486613844496,-0.6104971410224103,-15.827281233710067
42,Pennsylvania,108643,611151,10864300,12568331,4.110333845714864,3.190032232601131,-0.9203016131137334,-22.38994805916247
44,Rhode Island,7441,46309,744100,1049253,4.041526676521973,3.122926501044076,-0.9186001754778967,-22.729039024144683
45,South Carolina,15424,228988,1542400,5002674,4.661566390041494,3.140780310689843,-1.5207860793516508,-32.62392835593861
46,South Dakota,NA,42568,NA,857806,NA,3.294628389169579,NA,NA
99,State not identified,359437,NA,35943700,NA,4.264065747265863,NA,NA,NA
47,Tennessee,18525,313806,1852500,6771069,4.069257759784076,3.2247541710178997,-0.8445035887661763,-20.753258668258646
48,Texas,96834,1211253,9683400,28631256,4.307763801970382,3.548996523240196,-0.7587672787301862,-17.61394806240593
49,Utah,7934,156832,793400,3229807,4.527854802117469,4.0270424827242,-0.500812319393269,-11.06069742252031
50,Vermont,NA,30604,NA,618873,NA,2.9234786458611057,NA,NA
51,Virginia,32185,390168,3218500,8386280,4.152151623427062,3.2947873192881705,-0.8573643041388914,-20.64867523867658
53,Washington,25489,361475,2548900,7530262,3.909961159715956,3.343905962368906,-0.5660551973470502,-14.477258832621551
54,West Virginia,5691,81370,569100,1741106,3.9362150764364783,3.064971345799739,-0.8712437306367393,-22.13404790435107
55,Wisconsin,33248,285838,3324800,5737418,4.36934552454283,3.124425481985102,-1.2449200425577276,-28.492139968444935
56,Wyoming,NA,27787,NA,564463,NA,3.1701670437212006,NA,NA
