race_eth,count_1970,count_2020,weighted_count_1970,weighted_count_2020,ppbr_1970,ppbr_2020,change_ppbr,pct_change_ppbr
AAPI,14229,878129,1422900,18890010,1.886971443296558,1.33683096691496,-0.550140476381598,-29.154679491094846
AIAN,7227,129959,722700,1758501,2.8056962317236307,1.3889496603451863,-1.4167465713784444,-50.4953656550371
Black,216480,1248386,21648000,38464725,2.11021988174427,1.241791687492023,-0.8684281942522469,-41.15344575061153
Hispanic,76864,2208376,7686400,60655552,2.358565995351092,1.561715226552278,-0.7968507687988138,-33.78539207168532
Multiracial,NA,534566,NA,11484909,NA,1.2498956064867408,NA,NA
Other,1593,56456,159300,1392192,2.0537560159029087,1.318234063021959,-0.7355219528809498,-35.813502051147324
White,1655651,9828948,165565100,190267943,1.4961695329108469,1.0381596009756393,-0.45800993193520756,-30.61216806387804
