crowded,YEAR,weighted_count,count,percent_crowded
TRUE,1970,29682200,296822,15.05148972335303
TRUE,1980,18585900,185859,8.410217750062332
TRUE,1990,21682886,215348,8.978708357211428
TRUE,2000,29034044,282754,10.61169943828289
TRUE,2010,18676040,768251,6.202609080274106
TRUE,2020,19108674,737555,5.9175767980109315
