YEAR,weighted_count,count,hhsize
1970,197204400,1972044,4.1731056710702195
1980,220991900,2209919,3.6288203323289223
1990,241492263,2447860,3.47123949474108
2000,273604093,2740185,3.469581955413218
2012,301099743,14757252,3.389118040529181
2022,322913832,14884820,3.361668366067391
