YEAR,weighted_count_usa,count_usa,weighted_count_cps,count_cps,hhsize_usa,hhsize_cps,gq_usa,gq_cps,count,weighted_count
1970,203027600,2030276,200223389.6800095,145023,4.1731056710702195,4.22754799324289,2.8681814689234373,0.42714682403830584,450,855247.8500000001
1980,226732000,2267320,218100210.06999838,181488,3.6288203323289223,3.621932201503549,2.5316673429423284,0.2836475488957369,448,618635.8999999998
1990,248124018,2500052,246191485.7099985,158079,3.47123949474108,3.4209184402982706,2.672758184981512,0.16947549944577764,217,417234.2500000001
2000,281421906,2818644,274087002.2299998,133710,3.469581955413218,3.4008243385368906,2.7779688905951763,0.06773572569640038,86,185654.81999999992
2010,309138716,15318124,304281697.8400148,209802,3.389118040529181,3.3945926421540453,2.6004419970483412,0.047028017464016,73,143097.64999999997
2020,331097594,15721123,327601104.5711015,157959,3.361668366067391,3.311922357578878,2.471706876855167,0.0635638825066309,79,208235.98119999998
