"YEAR","cost_burden_bin","weighted_count","count","percent"
2010,0.51,22685,838,0.79470147635461
2010,0.35,49237,1856,1.72487179154824
2010,0.86,6732,240,0.235835589103779
2010,0.17,57700,2276,2.02134781510518
2010,0.61,12172,470,0.426409802520975
2010,0.24,71271,2637,2.49676741993694
2010,0.67,12468,467,0.43677928178044
2010,0.36,47085,1756,1.64948287476997
2010,0.96,8138,309,0.285090615586238
2010,0.5,26842,1009,0.940329602305948
2010,0.59,19844,729,0.69517549467846
2010,0.04,14341,579,0.502394263716176
2010,0.09,23035,951,0.806962684938436
2020,0.83,8129,243,0.33459325454401
2020,0.77,8920,260,0.367151166260619
2020,0.81,6090,219,0.250667107906633
2020,0.65,12886,385,0.530393489734791
2020,0.71,9586,295,0.394564022396221
2020,0.16,44507,1530,1.83192790995083
2020,0.99,5587,171,0.229963404248663
2010,0.88,8848,334,0.309963352999144
1990,0.48,18570,176,0.832753724184971
1990,0.13,47140,452,2.11394779526546
1990,0.21,58566,566,2.62633573562827
1990,0.39,19249,184,0.863202823739176
1990,0.18,56056,535,2.5137772085575
1990,0.73,9064,83,0.406466330426095
2000,0.69,8466,83,0.332510109627004
2000,0.53,16034,152,0.629750424965673
2000,0.78,9201,81,0.361377925664785
2000,0.38,29198,283,1.14677890159335
2000,0.43,21915,198,0.860732229208103
2000,0.87,5015,54,0.196968840040093
2020,0.9,8411,242,0.346200499934761
1980,0.33,26100,261,1.38586523655286
1980,0.06,13800,138,0.732756331970477
1980,0.2,48600,486,2.58057664737429
1990,0.34,33354,317,1.4957279330353
2020,0.85,7260,238,0.298824828144854
1990,0.6,11801,106,0.529204453371397
1990,0.75,9690,95,0.434538696141754
2000,0.76,8446,79,0.331724590823255
2000,0.37,33054,301,1.29822692695618
2000,0.62,11159,101,0.438280216551824
1980,0.44,22200,222,1.17878192534381
1980,0.12,29800,298,1.58232889077683
1980,0.14,41700,417,2.21419848138905
1980,0.79,5300,53,0.281420910104604
2000,0.47,17360,166,0.68183032165424
2020,0.01,7842,258,0.322780206930019
2010,0.95,6991,251,0.244908883455811
1980,0.05,11700,117,0.621249933627144
2000,0.58,9875,94,0.38784990935113
2000,0.84,7805,75,0.306548713163096
2000,0.91,4933,42,0.193748212944721
2000,0.63,7996,75,0.3140504177389
1980,0.93,1700,17,0.0902670843731748
2020,0.53,18516,564,0.762126793103321
2020,0.58,12222,398,0.503062954488485
2020,0.37,39595,1230,1.6297478058396
2020,0.43,29649,859,1.22036602337008
2010,0.3,61216,2290,2.14452041333585
2010,0.27,63335,2376,2.21875327330479
2010,0.42,39644,1441,1.38880958027781
2010,0.19,63104,2460,2.21066087563947
2010,0.4,38886,1485,1.36225530568769
2010,0.03,11586,497,0.405881036149196
2010,0.32,51803,1922,1.81476396647996
2010,0.54,21498,807,0.753118463243174
2010,0.8,11325,411,0.396737677748113
2020,0.91,4299,146,0.176948751541973
2020,0.38,40078,1198,1.64962830060461
2020,0.84,7730,232,0.318170237129438
2020,0.62,14854,437,0.611397244802156
2010,0.08,20717,857,0.725758452088977
2010,0.57,21508,774,0.753468783488426
2010,0.66,16043,581,0.5620187694581
2010,0.56,22051,832,0.77249117280562
2010,0.7,13017,505,0.456011863244785
2010,0.74,10530,409,0.368887218250564
2010,0.41,34054,1277,1.19298056318183
2020,0.87,6124,200,0.252066563024667
2020,0.47,24305,727,1.00040460717089
2010,0.97,5889,210,0.206303592429019
2010,0.68,12549,502,0.439616875766982
1990,0.14,48796,488,2.18820951671135
1990,0.2,60859,579,2.72916310717141
1990,0.06,19804,203,0.888091262991877
1990,0.12,49363,484,2.21363608438033
1990,0.05,14616,145,0.655440411022484
1990,0.79,7558,68,0.33893121418363
2000,0.65,9770,102,0.383725935631447
2000,0.16,62740,614,2.464172487361
2000,0.25,67728,646,2.66008087701603
2000,0.82,5681,47,0.223126616204939
2000,0.1,36309,367,1.42607011226635
2000,0.45,26097,245,1.02498421107204
2000,0.85,7238,65,0.284279255076808
2010,0.98,4933,190,0.172812976982909
2020,0.76,8307,280,0.341919813691363
2020,0.63,13010,388,0.535497384871149
2020,0.69,10661,316,0.438811500392876
1980,0.21,50500,505,2.68146338873254
1980,0.13,33700,337,1.78941220198588
1980,0.18,45400,454,2.41066213561302
2020,0.78,8734,286,0.359495323556081
2000,0.71,6272,54,0.246338696855725
2000,0.01,13960,135,0.548292125016889
2000,0.64,11213,108,0.440401117321946
2010,1,2921,112,0.102328543638167
2010,0.89,8331,313,0.291851796319606
2010,0.92,7084,268,0.248166861736657
1980,0.48,16000,160,0.849572558806351
1980,0.73,6600,66,0.35044868050762
1980,0.6,10500,105,0.557531991716668
1980,0.34,28100,281,1.49206180640365
1990,0.44,18397,176,0.824995706183678
1990,0.33,33474,317,1.50110921719805
1980,0.39,22700,227,1.20533106780651
1980,0.75,5000,50,0.265491424626985
2000,0.83,6131,57,0.240800789289294
2000,0.99,3083,29,0.121087723597927
2000,0.94,5011,45,0.196811736279343
2000,0.81,7733,69,0.303720845469599
1990,0.93,6293,57,0.282203510301347
2000,0.9,7113,72,0.279369762553376
2000,0.77,5818,54,0.22850742001062
2020,0.49,19308,620,0.794725865264577
2020,0.22,57289,1844,2.35804071344222
2020,0,102119,4085,4.20326344701436
2020,0.28,57703,1832,2.37508113752651
2020,0.07,12932,487,0.532286870188601
2020,0.15,39422,1369,1.62262704891548
2020,0.23,55324,1797,2.2771604397088
2020,0.26,60722,1937,2.49934451991898
2010,0.79,10775,384,0.377470064259243
2010,0.2,65563,2486,2.29680462394698
2010,0.12,34449,1431,1.20681821286929
2010,0.05,15218,617,0.533117349224794
2010,0.44,33719,1244,1.18124483496588
2010,0.14,43048,1784,1.50805859176166
2020,0.02,9377,301,0.385961489464778
2010,0.33,53956,2037,1.89018791528276
2010,0.06,16128,658,0.564996491542744
2020,0.55,17780,575,0.731832705842355
2020,0.72,13162,379,0.541753772457653
1990,0.27,44655,421,2.00251036906192
1990,0.42,20569,192,0.922396949529384
1990,0.4,25564,234,1.14639290280369
1990,0.74,13314,120,0.597053477856688
1990,0.66,10275,99,0.460772456435141
1990,0.08,23620,246,1.05921609936721
1980,0.17,46300,463,2.45845059204588
1980,0.09,23300,233,1.23719003876175
1980,0.29,36000,360,1.91153825731429
1980,0.5,16500,165,0.876121701269049
1980,0.24,46800,468,2.48499973450858
1990,0.19,56099,532,2.51570550204915
1990,0.41,21446,207,0.961725167952121
1990,0.68,10372,91,0.465122327800028
1990,0.03,11918,110,0.534451205430074
1990,0.97,5594,49,0.250857530053351
1990,0.7,10279,90,0.4609518325739
2000,0.46,22301,201,0.875892742120461
2000,0.11,31931,340,1.25412004612566
2000,0.52,16660,164,0.65433716352302
2010,0.93,6352,232,0.222523419784196
1980,0.51,14400,144,0.764615302925715
1980,0.36,24500,245,1.30090798067222
1980,0.35,27200,272,1.4442733499708
1980,0.04,9200,92,0.488504221313652
1990,0.57,14380,130,0.64485721883575
1980,0.61,10400,104,0.552222163224128
1980,0.67,8000,80,0.424786279403175
1980,0.59,14400,144,0.764615302925715
1990,0.56,12798,128,0.57391395595688
1990,0.32,35553,341,1.59433996531762
1990,0.98,6613,57,0.296553601402004
1990,0.3,34727,327,1.55729879266405
2000,0.31,46288,428,1.81800471939697
1990,0.89,5238,57,0.234893053703871
1990,0.92,6635,67,0.297540170165174
1980,0.86,4800,48,0.254871767641905
1990,0.54,16107,149,0.722302866744606
1980,0.96,3200,32,0.16991451176127
1980,0.95,2100,21,0.111506398343334
1980,0.88,3300,33,0.17522434025381
1990,0.8,9377,88,0.420502513283924
1990,1,514,6,0.0230498338304295
2020,0.4,37415,1167,1.54001803650684
2020,0.57,19717,552,0.81156048712563
2020,0.68,12143,355,0.499811279361289
2020,0.7,9479,304,0.39015985481888
2020,0.66,15444,442,0.635681907144506
2020,0.42,31141,957,1.28177740678497
2020,0.92,4672,148,0.192301597395696
2020,0.54,20652,607,0.850045502871558
2020,0.3,56046,1727,2.30687828074469
2020,0.56,16515,524,0.67976474336257
2020,0.27,56664,1770,2.33231543553719
2020,0.19,52634,1690,2.16643884360554
2020,0.08,16699,589,0.687338265177811
2010,0.69,12964,483,0.454155165944949
2010,0.62,18244,668,0.639124255438109
2010,0.43,32460,1187,1.13713951608863
2010,0.37,44423,1613,1.55622762548384
2010,0.78,10527,402,0.368782122176988
2010,0.53,21108,783,0.739455973678338
2010,0.84,11102,391,0.388925536278989
2010,0.38,40534,1456,1.41998808210526
2020,0.74,7907,258,0.325455635832143
2020,0.03,9683,339,0.398556585527082
2020,0.32,50874,1579,2.09399646102497
2010,0.87,6944,262,0.243262378303126
2010,0.76,9257,366,0.324291451029959
2010,0.63,15529,613,0.544012308852137
2010,0.47,29748,1066,1.04213266557624
2010,0.58,16476,625,0.57718763607752
2010,0.91,6407,241,0.224450181133083
2020,0.41,32511,966,1.3381672159528
2020,0.8,9687,298,0.398721227305674
2020,0.89,4949,163,0.203703040563207
1990,0.07,23008,227,1.0317715501372
1990,0.15,42877,425,1.9227776753839
1990,0.49,13216,133,0.592658762457112
1990,0.28,56672,517,2.54140113392626
1990,0.22,53153,516,2.38359497585373
1990,0.55,10988,111,0.492746253168792
1990,0.23,58407,535,2.61920553411263
1990,0.72,10118,93,0.453731942988882
1990,0,91380,998,4.09784788993121
2000,0.24,75517,745,2.96600117513613
2000,0.5,20833,207,0.818235661925275
2000,0.04,17779,188,0.698286940592784
2000,0.36,40675,394,1.59754886712478
2000,0.35,33116,325,1.3006620352478
2000,0.17,59432,585,2.3342476772209
2000,0.51,15006,152,0.589374758452968
2000,0.86,5742,51,0.225522448556374
2020,1,1591,54,0.0654862674350498
2020,0.98,3615,127,0.148795007402706
1980,0.46,19500,195,1.03541655604524
1980,0.11,28100,281,1.49206180640365
2020,0.97,4383,129,0.180406228892409
2000,0.29,40139,370,1.5764969631843
1980,0.31,40200,402,2.13455105400096
1990,0.26,47378,430,2.12462067552157
1980,0.52,15700,157,0.833643073328732
1990,0.02,5421,56,0.243099512052059
2000,0.61,10011,89,0.393191437216624
2000,0.67,7473,79,0.29350910102086
2000,0.88,5860,58,0.230157009498493
2000,0.59,7442,65,0.292291546875049
2000,0.09,23734,269,0.932175164409086
2000,0.96,7868,74,0.309023097394905
2000,0.95,2838,28,0.111465118252001
2020,0.48,29104,896,1.19793358103689
2020,0.6,21012,655,0.864863262944857
2020,0.39,36519,1104,1.50313827810219
2020,0.18,49035,1641,2.0183024033172
2020,0.21,55446,1765,2.28218201395586
2020,0.34,44843,1376,1.84575781935257
2020,0.13,30985,1142,1.27535637741987
2010,0.52,25909,947,0.907644723423918
2010,0.11,31011,1270,1.08637811255159
2010,0.31,58233,2125,2.04001988417712
2010,0.46,29836,1119,1.04521548373446
2020,0.73,8720,286,0.358919077331009
1990,0.1,36673,372,1.64456528416992
1990,0.16,55212,529,2.47592884327952
1990,0.94,6698,59,0.300365344350616
1990,0.25,50865,489,2.28099182448404
2000,0.44,23663,214,0.929386572655776
2000,0.2,74838,707,2.93933281174885
2000,0.12,43906,462,1.72444942987045
2000,0.05,18255,191,0.716982288122013
1980,0.47,18300,183,0.971698614134763
1980,0.37,28400,284,1.50799129188127
1980,0.38,28000,280,1.48675197791111
1980,0.63,12300,123,0.653108904582382
1990,0.01,6733,69,0.30193488556475
2020,0.75,9728,307,0.400408805536244
1980,0.43,21600,216,1.14692295438857
1980,0.62,11800,118,0.626559762119684
1990,0.45,19158,175,0.859122016582427
1980,0.76,5100,51,0.270801253119524
1980,0.53,13200,132,0.700897361015239
1990,0.83,5332,51,0.239108392964688
1980,0.69,7800,78,0.414166622418096
1980,0.84,6500,65,0.34513885201508
1990,0.85,5676,54,0.254534740897894
1990,0.77,7933,69,0.355747727192212
2000,0.33,44473,420,1.74671888795674
2000,0.79,4586,43,0.180119461699674
2000,0.06,23425,230,0.920038898891162
2000,0.93,5596,53,0.219788161289005
2000,0.14,49102,485,1.92852721508447
1980,0.58,13100,131,0.695587532522699
1980,0.78,8000,80,0.424786279403175
1990,0.64,10313,101,0.462476529753344
1990,0.71,9331,82,0.418439687688205
1990,0.65,11367,107,0.509742142316132
1990,0.81,7967,73,0.357272424371657
1980,0.87,4100,41,0.217702968194127
1980,0.91,2800,28,0.148675197791111
1990,0.82,7548,74,0.338482773836735
1990,0.99,2693,23,0.120764985418962
1990,0.9,6989,61,0.313414958445275
2020,0.33,49664,1547,2.04419232300083
2020,0.06,13541,469,0.557353580979265
2020,0.79,8726,258,0.359166039998897
2020,0.12,28910,1030,1.18994845477517
2020,0.44,29034,890,1.19505234991153
2020,0.14,35347,1252,1.45489823697467
2020,0.2,53621,1762,2.20706420247317
2010,0.55,21574,816,0.75578089710709
2010,0.28,66084,2536,2.31505630872462
2010,0.23,64760,2533,2.26867390825323
2010,0.72,12791,479,0.448094625702086
2010,0,135959,6262,4.76291902242435
2010,0.22,68472,2571,2.39871278329085
2010,0.26,67949,2583,2.38039103446416
2010,0.15,46466,1861,1.62779805158886
2020,0.05,11179,375,0.460132610720567
2010,0.49,23952,917,0.839087051428063
2020,0.93,4820,161,0.198393343203608
2010,0.02,10227,435,0.358272514819422
1990,0.37,27060,245,1.21347957869926
1990,0.76,8860,69,0.397318147349426
2000,0.39,26589,254,1.04430797364427
2000,0.48,23978,245,0.941758493814825
2000,0.13,43583,438,1.7117633011899
2000,0.21,63136,608,2.47972575967524
2000,0.34,39739,383,1.56078658710932
2000,0.6,23811,214,0.93519941180352
2000,0.18,72311,695,2.84008251089515
2010,0.07,19730,792,0.691181843882585
1980,0.83,6500,65,0.34513885201508
1980,0.25,43600,436,2.31508522274731
1980,0.16,42700,427,2.26729676631445
1980,0.1,19900,199,1.0566558700154
1980,0.71,6500,65,0.34513885201508
1980,0.81,4300,43,0.228322625179207
1990,0.69,14767,126,0.662211860260607
1980,0.45,15700,157,0.833643073328732
1980,0.99,2500,25,0.132745712313492
1990,0.47,17652,166,0.791586900339963
1990,0.58,15573,139,0.698356152220385
1990,0.43,22953,214,1.02930512822927
1990,0.84,9022,81,0.404582880969133
2000,0.73,7573,71,0.297436695039606
1980,0.94,4900,49,0.260181596134445
1990,0.38,24062,218,1.07903716269999
1980,0.64,12800,128,0.67965804704508
1980,0.77,8100,81,0.430096107895715
1990,0.62,16174,155,0.725307417068806
1980,0.85,4800,48,0.254871767641905
1990,0.63,10007,98,0.448754255138342
2000,0.75,9988,100,0.392288090592313
1990,0.87,7803,69,0.34991800268257
1990,0.78,8856,87,0.397138771210668
1980,0.65,10200,102,0.541602506239048
1980,0.9,3500,35,0.185843997238889
1980,0.82,4600,46,0.244252110656826
1990,0.53,12974,117,0.581806506062241
1980,0.01,2800,28,0.148675197791111
1990,0.91,6223,56,0.279064427873079
