"YEAR","cost_burden_bin","weighted_count","count","percent"
1990,0.77,3384,32,0.341633561661123
1990,0.94,1312,13,0.132453674024643
1980,0.91,1600,16,0.228050171037628
1980,0.78,1700,17,0.24230330672748
1990,0.01,2812,23,0.283886990363793
1990,0.71,2171,23,0.219174486514863
2020,0.06,12758,628,1.06854143005987
2020,0.14,26304,1166,2.20308149994472
2020,0.44,13027,524,1.09107142258896
2020,0.2,30993,1488,2.59580690875102
2010,0.07,10503,559,0.764488375817041
2010,0.22,31449,1614,2.28909787023423
2010,0.28,36017,1726,2.62159171968032
2010,0.23,32543,1639,2.36872752682224
2010,0.55,10077,503,0.733480849577104
2010,0.72,5275,270,0.383954696985137
2020,0.12,21886,1019,1.83305359290565
2020,0.33,24306,1020,2.03573977104837
1980,0.94,1500,15,0.213797035347777
1980,0.1,7800,78,1.11174458380844
1980,0.25,17500,175,2.49429874572406
1980,0.99,1100,11,0.156784492588369
1980,0.85,1900,19,0.270809578107184
1980,0.82,2200,22,0.313568985176739
1990,0.47,7717,84,0.779073934792814
2020,0.93,1517,76,0.127055757125005
2010,0.02,1824,117,0.132764619393534
2010,0.49,14463,686,1.05272735213195
2010,0.15,21447,1098,1.56107609217824
2010,0.26,35525,1726,2.5857802105018
2020,0.05,10750,540,0.900362154972847
2020,0.79,2769,116,0.231916540197192
1990,0.69,3014,36,0.304280010297466
1990,0.37,18935,196,1.9115932299212
1990,0.53,6204,70,0.626328196378725
1980,0.71,2200,22,0.313568985176739
1990,0.38,16352,164,1.65082505918519
1980,0.45,7700,77,1.09749144811859
1990,0.84,1961,24,0.197973822227382
1980,0.77,1400,14,0.199543899657925
1990,0.87,2341,26,0.2363369290333
1990,0.43,11381,127,1.14897504883724
2010,0,1031,65,0.0750440365102703
1990,0.91,2214,21,0.223515574916585
1990,0.58,4521,47,0.456420015446198
1980,0.16,15400,154,2.19498289623717
1980,0.9,1300,13,0.185290763968073
1980,0.64,3800,38,0.541619156214367
1990,0.63,3716,40,0.375150802344188
1990,0.76,2192,28,0.221294552943611
1990,0.62,4842,54,0.488826745142776
1990,0.78,2377,28,0.23997132862544
1980,0.83,1500,15,0.213797035347777
1980,0.81,2100,21,0.299315849486887
1980,0.65,3100,31,0.441847206385405
2020,0.22,32815,1502,2.74840782469153
2020,0.07,15964,731,1.33705873878944
2020,0.28,29879,1332,2.50250426311011
2020,0.23,32506,1479,2.72252764739975
2020,0.02,4124,191,0.345404049033304
2020,0.26,31088,1395,2.60376359756241
2010,0.05,6881,380,0.500851615157294
2010,0.14,18418,949,1.34060239034545
2010,0.44,18518,889,1.3478811523736
2010,0.06,8665,445,0.630704729739566
2010,0.12,15002,809,1.0919598794637
2020,0.15,26195,1218,2.19395224646639
1980,0.61,5200,52,0.741163055872292
1980,0.36,12100,121,1.72462941847206
1980,0.24,19600,196,2.79361459521095
1980,0.29,17100,171,2.43728620296465
1980,0.35,13100,131,1.86716077537058
1990,0.56,6542,65,0.660451170327146
2020,0.55,6333,263,0.530418002552841
2010,0.33,32125,1523,2.33830230154455
2010,0.79,4089,193,0.297628579331227
2010,0.2,27926,1463,2.03266708398236
1990,0.68,3749,43,0.378482335303649
1990,0.57,5010,47,0.505787276572761
1990,0.32,22854,231,2.30723800774329
2020,0.72,3413,154,0.285854514876495
1990,0.03,3026,35,0.305491476828179
1990,0.08,12399,141,1.25174779285941
2010,0.93,2755,134,0.20052989387565
1990,0.19,23968,246,2.41970248401117
1990,0.42,13781,147,1.39126835497988
1990,0.66,3588,39,0.362228492683247
1990,0.27,27197,284,2.74568793631724
2020,0.49,9374,408,0.785115799136322
1980,0.17,14900,149,2.12371721778791
1980,0.51,6000,60,0.855188141391106
1980,0.67,3000,30,0.427594070695553
1990,0.3,27682,286,2.7946513752669
1980,0.09,7400,74,1.05473204104903
1990,0.89,1688,20,0.170412958653657
1990,0.54,6827,72,0.689223500431585
2020,0,716,52,0.0599683072521449
1990,0.98,912,13,0.0920714563342032
1990,0.41,14347,152,1.44840919301186
1990,0.74,3518,40,0.35516160458742
1990,0.4,15803,163,1.59540046540506
1980,0.04,1400,14,0.199543899657925
1980,0.88,1700,17,0.24230330672748
1980,0.86,1300,13,0.185290763968073
1990,0.7,3155,34,0.318514742033346
1980,0.59,3400,34,0.48460661345496
1990,0.8,3011,33,0.303977143664787
